SAP Invoice No,Billing Item,Date,Invoice creation time,Customer Number,Customer Name,Product Code,Material Discription,Quantity,Unit of Measure,No. of Boxes,Billing Type,Plant,Plant State,Cust. Reg,Customer GST No,Billing Type,HSN/SAC Code,Invoice Value,Transporter Name,LR No,Shipping Bill No,Truck No.,Delivery,Plant Name,Customer Location,Customer Pincode,Transporter Name,Transporter ID,Transporter (LR) Document Number,Transporter (LR) Document Date,Distance (KM),Vehical Number,Vehicle Type,EWB Number,EWB Date,Month, Length O.D.in mm , Breadth O.D.in mm , Height O.D.in mm ,Volume,TotalVol
3172481727,10,3/26/2018,9.15.18 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-60,L,15,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,15,076.98",,,,,8853626925,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.1548288
3172481734,10,3/26/2018,9.17.50 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,-480,L,40,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-3,76,618.20",,,,,8853614680,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,415,313,305,0.039617975,1.584719
3172481733,10,3/26/2018,9.17.35 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,-684,L,57,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-5,36,680.92",,,,,8853606586,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,415,313,305,0.039617975,2.258224575
3172481798,10,3/26/2018,10.33.26 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-120,L,20,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-3,86,173.71",,,,,8853606648,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,302,197,285,0.01695579,0.3391158
3172481799,10,3/26/2018,10.33.41 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-4,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-14,338.46",,,,,8853626925,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.01032192
3172481725,10,3/26/2018,9.14.31 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-324,L,81,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-11,61,415.65",,,,,8853629565,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.83607552
3172481732,10,3/26/2018,9.17.16 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,"-1,188.00",L,99,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-9,32,130.02",,,,,8853648637,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,415,313,305,0.039617975,3.922179525
3172481729,10,3/26/2018,9.16.07 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-120,L,30,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-4,30,153.94",,,,,8853636979,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.3096576
3172481735,10,3/26/2018,9.18.37 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,"-1,008.00",L,84,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-7,90,898.20",,,,,8853604315,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,415,313,305,0.039617975,3.3279099
3172481737,10,3/26/2018,9.19.04 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-402,L,67,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-12,93,681.91",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,302,197,285,0.01695579,1.13603793
3172481796,10,3/26/2018,10.32.48 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57812,19A,-4,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-14,338.46",,,,,8853636979,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,192,192,280,0.01032192,0.01032192
3172481793,10,3/26/2018,10.30.40 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55710,9A,-670,L,67,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-16,17,890.13",,,,,8853616929,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,3,467,195,285,0.025953525,1.738886175
3172485952,40,4/27/2018,9.09.56 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56297,107A,-10,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-6,094.65",,,,,8853648649,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,347,267,320,0.02964768,0.02964768
3172485952,10,4/27/2018,9.09.56 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35142,114A,-30,L,3,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-16,298.67",,,,,8853648649,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,7,7,15,0.000000735,0.000002205
3172485952,20,4/27/2018,9.09.56 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56266,74A,-10,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-5,660.22",,,,,8853648649,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,362,257,215,0.02000231,0.02000231
3172485952,30,4/27/2018,9.09.56 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,56298,72A,-10,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-5,877.36",,,,,8853648649,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,397,307,225,0.027422775,0.027422775
3172485961,10,4/27/2018,9.12.30 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,40362,49A,-100,L,10,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089340,"-92,526.20",,,,,8853628252,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,392,317,225,0.0279594,0.279594
3172486010,10,4/27/2018,9.34.03 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59351,103A,-228,L,57,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-10,70,630.62",,,,,8853607512,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,195,195,283,0.010761075,0.613381275
3172485955,10,4/27/2018,9.11.17 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,40363,48A,-380,L,38,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089340,"-3,41,357.44",,,,,8853625543,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,467,195,285,0.025953525,0.98623395
3172486001,10,4/27/2018,9.31.17 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-66,L,11,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,12,395.54",,,,,8853669781,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,302,197,285,0.01695579,0.18651369
3172485969,10,4/27/2018,9.16.11 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,-72,L,6,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-56,492.73",,,,,8853604315,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,415,313,305,0.039617975,0.23770785
3172485999,10,4/27/2018,9.28.55 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-102,L,17,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-3,28,247.66",,,,,8853669780,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,302,197,285,0.01695579,0.28824843
3172486000,10,4/27/2018,9.30.11 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-90,L,15,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,89,630.29",,,,,8853666669,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,302,197,285,0.01695579,0.25433685
3172485983,10,4/27/2018,9.21.20 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-12,L,2,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-38,617.37",,,,,8853606648,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,302,197,285,0.01695579,0.03391158
3172485972,10,4/27/2018,9.17.25 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55402,213A,-72,L,6,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-56,492.73",,,,,8853648637,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,415,313,305,0.039617975,0.23770785
3172486006,10,4/27/2018,9.32.42 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,38824,59A,-330,KG,11,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-61,694.08",,,,,8853604315,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,720,690, -   ,#VALUE!,#VALUE!
3172485987,10,4/27/2018,9.23.55 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55712,10A,-40,L,4,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-99,399.87",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,392,317,225,0.0279594,0.1118376
3172485987,20,4/27/2018,9.23.55 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35644,136A,-126,L,21,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-4,05,482.39",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,302,197,285,0.01695579,0.35607159
3172485987,30,4/27/2018,9.23.55 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,35646,134A,-35,L,7,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-1,16,483.55",,,,,8853618917,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,412,177,230,0.01677252,0.11740764
3172485939,10,4/27/2018,8.50.16 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,36682,2A,-1,KG,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-3,171.87",,,,,8853615691,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,392,317,135,0.01677564,0.01677564
3172485941,10,4/27/2018,8.51.27 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55710,9A,-300,L,30,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-7,24,428.40",,,,,8853605693,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,467,195,285,0.025953525,0.77860575
3172485965,10,4/27/2018,9.14.49 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33166,297A,-20,KG,2,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-22,121.98",,,,,8853648639,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,534,372,255,0.05065524,0.10131048
3172485937,10,4/27/2018,8.48.36 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,36686,5A,-4,KG,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-11,264.23",,,,,8853562023,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,237,237,300,0.0168507,0.0168507
3172485946,10,4/27/2018,8.56.45 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,59351,103A,-48,L,12,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-2,25,395.91",,,,,8853636979,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,195,195,283,0.010761075,0.1291329
3172485943,10,4/27/2018,8.53.48 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,55710,9A,-10,L,1,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-24,147.62",,,,,8853640959,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,467,195,285,0.025953525,0.025953525
3172485973,10,4/27/2018,9.18.32 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,33161,149A,-60,L,6,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089199,"-53,798.80",,,,,8853609814,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,467,195,285,0.025953525,0.15572115
3172485950,10,4/27/2018,9.07.34 AM,3728899,KULSWAMINI KRUSHI VIKAS SEVA KENDRA,57823,20A,-44,L,11,ZY61,4752,Maharashtra Central,MH,27AAEPT7081N1ZY,Return credit note,38089290,"-1,62,569.55",,,,,8853636979,SYNGENTA INDIA LTD - Pune,A/P.KUNKESHWAR,416612,,,,,0,,,,,4,342,182,240,0.01493856,0.16432416
